Example,faithfulness,ragas_faithfulness,answer_relevancy,ragas_answer_relevancy,contextual_recall,ragas_contextual_recall,contextual_precision,ragas_contextual_precision,RAGAS_metric,manual_ragas_average
economy,1,1,1,0.680369590726908,0.909090909090909,0.4,1,0.61493247104463,0.697032532580626,0.673825515442885
bipartisan,1,1,1,0.764609802296715,0,0,1,0.558823529383824,0.465203834935262,0.580858332920135
AI,1,1,1,0.653330537669676,0.75,1,0.25,0.3928571428375,0.708934134521147,0.761546920126794
housing,1,1,0.875,0.756127632174912,1,1,1,0.431313131305943,,0.796860190870214
prevent_firearm,1,,1,0,0.666666666666667,0.5,1,0.3333333333,0.3,0.277777777766667
protect_women,1,,1,0,0.5,0,0.866666666666667,0.3333333333,,0.1111111111
econ_expansion,1,1,1,0.677144769870229,0.666666666666667,0.5,0.916666666666667,0.653333333320267,,0.707619525797624
inflation,1,1,1,0.615561180091195,0.956521739130435,1,1,0.815966386542965,0.870740638972624,0.85788189165854
2023,1,0.857142857142857,1,0.725476714692017,0.5,0.5,0,0.583333333304167,,0.66648822628476
who_justice,1,1,1,0.766009543272254,1,1,1,0.208730158727177,0.851224608034962,0.743684925499858
nominated,1,1,1,0.716592656444916,1,1,0.5,0.49999999995,0.804148164098729,0.804148164098729
Average,1,0.984126984126984,0.988636363636364,0.577747493385347,0.722631452868607,0.627272727272727,0.775757575757576,0.493268741183316,,
